,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.927184167652582,2.121178436431925,2.0312033189671364,1.7932001289671364,2.317645762065728,2.0313944030985915,2.308284340516432,2.5928126129107976
50,50,1.8568457529245281,2.0015477569811315,1.9370805625000003,1.7446325119811323,2.1750259584905662,1.9394819285377358,2.134841481462264,2.3350760931132073
45,45,1.727662352216981,1.8341840558962266,1.7919472764150943,1.6381915335377357,1.965731680943396,1.7905032154245284,1.9240530594811323,2.065470628537736
40,40,1.5699285681603772,1.6465371674056604,1.6235963985849056,1.5029594208018868,1.737322998490566,1.6209700223113208,1.707656949056604,1.8046887709433963
35,35,1.4042971798113206,1.4556071725,1.4500854914150945,1.3590073714150943,1.5093714376415093,1.4487083238679244,1.4967624208962267,1.5577500398113209
30,30,1.2374859828301885,1.2660759435849058,1.2763420908962264,1.2117124391981133,1.2862783318396227,1.2764772017924526,1.2928242944811321,1.3247356565094344
25,25,1.076562052629108,1.0852239438028168,1.1090230115023474,1.0689819338497653,1.0724956285915492,1.1100972242253522,1.098634794084507,1.1055896267136152
20,20,0.9230635216431925,0.9137162119248826,0.9503447622065727,0.9323077105164319,0.8706172681220656,0.9524441424413146,0.9149912708920188,0.89967050685446
15,15,0.7838270823004694,0.7595381976056338,0.8076802395305165,0.8091457415492959,0.6814908617370892,0.8041993678873239,0.7421858921596243,0.7067110243192488
10,10,0.655366026273585,0.6170405135377359,0.6759322709905659,0.6954281663207548,0.5027992176415095,0.6621081000471698,0.577778389481132,0.5254090373113207
5,5,0.5413316931603774,0.49059563995283023,0.5596159009433963,0.5952413416981133,0.341093294245283,0.533618458490566,0.4251664646226415,0.3542401519339623
