,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.3281036524731182,2.7023351281182793,2.298017570752688,2.422467844892473,2.543275475967742,2.3751284803225805,2.7259351174193545,2.8953586614516134
50,50,2.2489547830645162,2.591045412688172,2.218818195322581,2.3346835195161293,2.3760168004301074,2.2434697562365593,2.5132961763978496,2.6274192731182793
45,45,2.135194684756757,2.425173466972973,2.110026207621622,2.1961476178378376,2.207342896756757,2.1121367465945946,2.3010657345945944,2.372441199837838
40,40,1.985484747956989,2.193658274032258,1.9647324052150539,2.001525841935484,2.0169851917204302,1.9565179560215056,2.0786582505913977,2.132701069892473
35,35,1.8319154187096776,1.9485230245161291,1.8138381345698926,1.799100172795699,1.8295191745161292,1.7991518502150539,1.863624651236559,1.9108532006989247
30,30,1.6804678906451613,1.7038005458064518,1.6640972622580645,1.5975403979032259,1.656229510483871,1.6530268113440862,1.6647283390860215,1.7066664836021506
25,25,1.532795723924731,1.4638439909139784,1.5177597616666667,1.3992650610752688,1.488018872204301,1.5095507294086021,1.4735694919892472,1.5162518384408605
20,20,1.3986820684946237,1.2430009194086022,1.3839561071505377,1.2191877537634408,1.3353130332795697,1.3795201198924731,1.2981177502150536,1.3402248965591401
15,15,1.2764965943783784,1.0391210132972974,1.2614251674594594,1.0551858484864864,1.1967471354594594,1.2624553442162163,1.1374013836216217,1.1768789021621622
10,10,1.1571483932795699,0.8403291986021505,1.1414167009677418,0.8931949340860216,1.06591100155914,1.1509279058064517,0.9851849376344087,1.024437275591398
5,5,1.054178770376344,0.6646767595698924,1.0366035180645161,0.7538015701612903,0.9459401020967741,1.048217962903226,0.8442709455913977,0.8821023416129034
