,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
35,35,2.0785784813636368,1.9973543050757572,2.2176653295454547,3.2914563659848484,2.0839585425757576,2.0297651561363637,2.1874944775,2.426441889848485
30,30,1.8668401357894737,1.8610255463909775,1.8534291317293234,1.974122289924812,1.8904360888721805,1.9007141469924813,1.873026325112782,2.03488407368421
25,25,1.656129744365079,1.7264250138095236,1.4930053012698419,0.5437301673015874,1.6919352564285712,1.7660825765079364,1.5550429578571427,1.6549255067460318
