,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
5611,6339366,55,1.6520017868666668,1.7130460507333332,1.6623394168666665,1.5965571138666668,1.8122497836333331,1.7322794865333333,1.8418276835999998,2.0432686466
5612,6340495,55,1.6519494685333334,1.7129820723,1.6623017549666665,1.5965073237,1.8122263060666668,1.7322659368333333,1.8418134494333334,2.043235433933333
5613,6341624,55,1.6519269102,1.7129497290333335,1.6622938465000001,1.5964834147333333,1.8122260700333335,1.7322755355666668,1.8417996676333332,2.0431859729
5614,6342753,55,1.6519041211,1.7129180532333335,1.6622837009666667,1.5964608118,1.8122042171666666,1.7322648025666667,1.8417532475333334,2.0431247967000004
5615,6343882,55,1.6518626878666667,1.7128557716333335,1.6622430637,1.5964134226666669,1.8121167861,1.7321905657999999,1.8416440816333333,2.043038481566667
5616,6345011,55,1.6517880485333334,1.7127568417666665,1.6621666449333334,1.5963355300000002,1.8120102795,1.7321062713666666,1.8415482608333331,2.0429808459
5617,6346140,55,1.6517118815666667,1.7126636973333333,1.6620943725,1.5962558119999999,1.8119294442666667,1.7320448814333333,1.8414793676333332,2.0429291478000002
5618,6347269,55,1.6516468514666665,1.7125827939333331,1.6620311743,1.5961834818666667,1.8118660873666665,1.7319990698,1.8414168840999998,2.0428682889666665
5619,6348398,55,1.6515786493333333,1.7124989440333331,1.6619626036666666,1.5961083560666667,1.8117833769666667,1.7319342206666666,1.8413358639999997,2.042803021533333
5620,6349527,55,1.6515145253333332,1.7124225921666667,1.6619032908666667,1.5960399152666667,1.8116959354000002,1.7318623705,1.8412474979666669,2.042737869466667
5621,6350656,55,1.6514536665000001,1.712347455866667,1.6618439977333335,1.5959705618,1.8116000372666667,1.7317787828333333,1.8411556451666664,2.0426691284
5622,6351785,55,1.6513864727333334,1.7122670363,1.6617795655666667,1.5958961401666667,1.8115061729333335,1.7316981980666666,1.8410720076666667,2.0426102024
5623,6352914,55,1.6513208407333333,1.7121843613333332,1.6617156605666665,1.5958252446,1.8114371184333333,1.7316467490999998,1.8410131197333333,2.0425610508666665
5624,6354043,55,1.6512598455,1.712110695,1.6616585743333334,1.5957593149666667,1.8113810642000003,1.7316076132666665,1.8409591412666668,2.0425073740333333
5625,6355172,55,1.6512115567999999,1.7120552780666667,1.6616223469666667,1.5957113095,1.8113486409333333,1.7315926316333332,1.8409286377666667,2.0424684952333334
5626,6356301,55,1.6511733192333333,1.7120064464666667,1.6615883763666666,1.5956620399333334,1.8113138520666667,1.7315699985333333,1.8408798966666666,2.0424032684333335
5627,6357431,55,1.6511008606,1.7119110623666665,1.6615095894,1.5955765141666667,1.8112317684999997,1.7315030369,1.840788672,2.042325600033333
5628,6358560,55,1.6510098234666666,1.711794742,1.6614147324333333,1.5954726472333332,1.8111122079,1.7313952019666665,1.8406656758000002,2.042244494666667
5629,6359689,55,1.6509126349666667,1.7116795782,1.6613193784666667,1.5953693874333335,1.8109806003666669,1.7312755600666667,1.8405463656666665,2.0421755083666664
5630,6360818,55,1.6508120252999998,1.7115592033,1.6612194507,1.5952601192333333,1.8108536847,1.7311530359000002,1.8404295614333335,2.0420989965333334
5631,6361947,55,1.6506948539000001,1.7114159842,1.6610996475,1.5951290139333332,1.8107192133,1.7310286523333331,1.8403098119999997,2.0420269614333333
5632,6363076,55,1.6505613397333334,1.7112557955,1.6609617771666665,1.5949799844333334,1.8105554539666666,1.7308738190333335,1.8401657759333334,2.0419417058
5633,6364205,55,1.6504205347333332,1.7110907759666667,1.6608223568999998,1.5948312395,1.8103814559666667,1.730708142533333,1.8400230865666667,2.0418652451
5634,6365334,55,1.6502725254333332,1.7109201899666668,1.6606718246333334,1.5946706875666665,1.8102113420666668,1.7305457666000004,1.8398855047333333,2.0417893049666667
5635,6366463,55,1.6501107972666667,1.7107392892666666,1.6605089255,1.5945020226333335,1.8100641038333334,1.7304040502333335,1.8397744046666666,2.041727244966667
5636,6367592,55,1.6499663914333333,1.710583767533333,1.6603744659,1.594357942,1.809961603266667,1.7303057484666666,1.8397010924000001,2.0416731813
5637,6368721,55,1.6498550409,1.7104667062666665,1.6602795276333333,1.5942476851,1.809867833366667,1.7302150889666665,1.8396233689000003,2.041608484266667
5638,6369850,55,1.6497628524,1.7103703032333333,1.6602042772333334,1.5941582699999999,1.8097595067,1.730115628,1.8395303464333335,2.0415409521999996
5639,6370979,55,1.6496763182666667,1.7102738451333335,1.6601269274333332,1.5940679606333332,1.8096470638333335,1.7300125937333333,1.8394313837666665,2.0414732614666664
