,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,49.706518055155,49.29445853474161,49.70212169923533,49.61379821132897,49.21845642735442,49.56718852854072,48.513159040782234,48.013709340438
50,50,42.63790932379992,42.107618406064496,42.79373169907223,42.293596438854216,42.3306102176192,42.54224160075778,41.928867656328286,41.92213826028043
45,45,37.408014988127846,36.99150541948395,37.56389403741168,37.11776624825835,37.309096933089535,37.446827110233585,37.10583366073054,37.1798222092354
40,40,32.83414192282981,32.54546244602495,32.94866786944441,32.6499198223096,32.78532552484378,32.86399279117432,32.73828073688056,32.792972071676395
35,35,28.542739970454527,28.379033811736402,28.6189746492627,28.47435740351156,28.49313764054529,28.526503711042974,28.563664319016056,28.601702868667925
30,30,24.448007757845104,24.417191660092705,24.472353720265293,24.44684630482157,24.4775050446121,24.50873703310969,24.604969183393383,24.581688458566514
25,25,21.319893419606334,21.462422678816665,21.300425101927413,21.48257294960592,21.296549457094752,21.470939345098966,21.344997177907885,21.00033592623846
20,20,16.36215371644285,16.748375316973274,16.259448900132224,16.557342196551787,16.435709580132837,16.369389871447055,16.76323397754352,16.713556179797145
15,15,12.426809095397072,12.870307466702132,12.244389822169747,12.618455057235957,12.751417539194975,12.297581470140118,12.809049948418503,13.248641293971852
10,10,32.05448349607487,32.84291236520229,31.829608329304428,32.475159740014206,32.44975951333749,32.09778402101847,32.94234519093872,33.038168754541076
5,5,32.2593280122717,32.340713934185246,32.26638417177503,32.270188839412384,32.45243212217544,32.308820477967316,32.68559812331193,32.907264636586724
