,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
5611,6339366,55,50.065217802050306,49.69654505262874,50.029960652898005,50.04369710568837,49.53994427243735,49.898042092318505,48.81955062982276,48.236989842255575
5612,6340495,55,50.06387387442114,49.69504959550388,50.02901511415559,50.04228071755074,49.5394663711056,49.89769971682772,48.819264339216176,48.236420918377014
5613,6341624,55,50.0632944070432,49.69429359123717,50.02881656438443,50.04160057568666,49.53946156649165,49.89794225880547,48.818987147022625,48.23557366443006
5614,6342753,55,50.06270901184457,49.69355318859947,50.02856185087212,50.04095758674341,49.53901673699842,49.897671056037694,48.81805350342427,48.2345257328885
5615,6343882,55,50.06164469531353,49.69209739392594,50.02754161264677,50.039609501151425,49.53723702005459,49.895795232261406,48.81585785878553,48.23304717830787
5616,6345011,55,50.059727396808434,49.689784968218405,50.025623044955516,50.037393677094954,49.53506900806668,49.89366527012331,48.81393062302968,48.23205989513207
5617,6346140,55,50.05777085720918,49.687607773510564,50.02380857500775,50.03512592751477,49.53342355365435,49.89211406171618,48.81254497984599,48.23117432084616
5618,6347269,55,50.056100395966446,49.68571670554201,50.02222192254064,50.033068341655856,49.532133882228194,49.89095648771484,48.8112882537532,48.23013182570862
5619,6348398,55,50.05434845309068,49.683756764920766,50.02050038989334,50.03093122705925,49.53045025756339,49.889317871815464,48.809658703241595,48.22901381246118
5620,6349527,55,50.05270126729935,49.68197208628683,50.019011284183826,50.02898428163328,49.52867032688515,49.887502352942334,48.80788140458574,48.22789777541314
5621,6350656,55,50.05113795550433,49.680215820787396,50.01752267222516,50.027011373445454,49.52671825722294,49.88539024947153,48.80603397688283,48.22672025977861
5622,6351785,55,50.049411915055835,49.67833606212994,50.01590503982102,50.024894290380786,49.524807586899186,49.8833540236483,48.8043517828234,48.225710873546404
5623,6352914,55,50.04772599250177,49.67640358486365,50.01430064245036,50.022877513849195,49.523401937072606,49.882054004813,48.80316737473343,48.224868921249644
5624,6354043,55,50.046159176930594,49.674681678944644,50.012867436869236,50.02100200394788,49.522260916235965,49.881065115749436,48.8020817103369,48.22394945180398
5625,6355172,55,50.04491876054169,49.673386341696244,50.01195791348567,50.0196363854316,49.52160091928911,49.88068655799057,48.80146819598639,48.223283468614135
5626,6356301,55,50.04393653272514,49.6722449326255,50.011105048430984,50.01823480687815,49.52089276899627,49.88011466202827,48.800487870308665,48.22216615140457
5627,6357431,55,50.04207525096969,49.67001538706599,50.00912702476832,50.015801842912,49.51922190393678,49.878422667218345,48.79865307619909,48.22083571299644
5628,6358560,55,50.03973673383865,49.66729646895507,50.006745548077774,50.01284712510094,49.51678816918155,49.87569788082283,48.79617926389034,48.219446400291154
5629,6359689,55,50.03724020342444,49.66460458488942,50.00435159371735,50.00990967850042,49.514109211164254,49.872674754537336,48.793779589132924,48.21826468387683
5630,6360818,55,50.03465579176259,49.661790894517836,50.00184280964573,50.00680131006823,49.51152575918299,49.869578798782214,48.79143031533313,48.21695405713875
5631,6361947,55,50.03164595043593,49.6584432348089,49.99883503342982,50.00307173846538,49.50878850527354,49.86643585947857,48.78902180497147,48.2157201156159
5632,6363076,55,50.02821630415256,49.654698920979136,49.9953736642053,49.998832274529256,49.50545507619217,49.862523512557466,48.78612481957986,48.214259709979935
5633,6364205,55,50.02459937452638,49.65084168934643,49.991873382392335,49.99460090570262,49.501913232307636,49.858337178321406,48.78325492025299,48.212949959141845
5634,6365334,55,50.02079738438313,49.64685434492723,49.98809412297851,49.990033661423844,49.49845045183665,49.854234243210946,48.78048774831794,48.211649125468114
5635,6366463,55,50.01664299073658,49.64262590064356,49.984004381311905,49.98523562545005,49.49545332062652,49.85065333657912,48.778253201946406,48.210586054674735
5636,6367592,55,50.01293356467375,49.63899067433265,49.98062864187523,49.98113694264624,49.493366854085465,49.848169435414725,48.77677867844355,48.209659958880074
5637,6368721,55,50.01007324690873,49.63625443813304,49.978245124068856,49.978000448520845,49.491458106014406,49.84587863998704,48.77521543217269,48.20855171642833
5638,6369850,55,50.00770515403673,49.63400107562406,49.97635588936264,49.975456844121744,49.48925304537081,49.84336544801407,48.77334447906171,48.20739491063249
5639,6370979,55,50.0054823077562,49.63174642596511,49.97441394717123,49.97288780038827,49.48696419676528,49.84076196545598,48.77135405120372,48.20623538692013
5640,6372108,55,50.00319751604907,49.629451041749284,49.97246044953612,49.97035277659662,49.48497403691619,49.83852961856666,48.769706803336824,48.2052045045948
5641,6373237,55,50.00164764395847,49.62783111130011,49.97136399877438,49.96869429376464,49.483635732429036,49.83719759259952,48.76877803913202,48.20440022170743
5642,6374406,55,50.0006098377924,49.626612186504836,49.97071528044967,49.96749788076891,49.482273031006535,49.835810100574854,48.76752861805053,48.20336212890946
5643,6375535,55,49.999573108789185,49.62544089327104,49.97007620784079,49.96637853488449,49.481135427206446,49.8347594174734,48.76651155277855,48.202463167742714
5644,6376664,55,49.99838244311039,49.624082078180145,49.96911786170335,49.96500582923593,49.48030566678097,49.834026324360536,48.76572027711925,48.20161973315368
5645,6377793,55,49.99734362571274,49.62292653928808,49.968347004481096,49.963856492473774,49.47988157698977,49.83387145519033,48.765261156891036,48.20080958733209
5646,6378922,55,49.99627715399975,49.62166733963235,49.96739017307085,49.96265183549515,49.479293035868324,49.83352043210547,48.76440932593297,48.19976823760222
5647,6380051,55,49.99506125976266,49.62020008137673,49.966322066955556,49.961290804555276,49.47836883740036,49.83278084508491,48.76320089095285,48.19861819290922
5648,6381180,55,49.993810232720264,49.61864868620982,49.96516421701988,49.959853005199136,49.4774285701755,49.832114848946766,48.76230591175487,48.197932667557005
5649,6382309,55,49.99299911967245,49.61758295407794,49.96462966979295,49.959011230444766,49.47705476903885,49.83204655931664,48.761664203788335,48.19705929020697
5650,6383438,55,49.99266012333604,49.61706050987525,49.964707397056536,49.958797820904145,49.476186438032954,49.83152340472198,48.76059288727606,48.19607764499498
5651,6384567,55,49.992359695081056,49.61639918592993,49.96455770267703,49.95839200340253,49.4748374827867,49.83037070157254,48.75905833610328,48.19495868789965
5652,6385696,55,49.99177615195178,49.61538237328864,49.96409268644951,49.95764691765249,49.47334091916065,49.82904937834018,48.75758112216261,48.19399761834349
5653,6386825,55,49.990965645129165,49.61423284239504,49.9634329717075,49.95675627544258,49.47239896987987,49.82845836451576,48.75673068905225,48.19317866727176
5654,6387954,55,49.99006910912827,49.613068905083125,49.96262629578985,49.95576898215786,49.471367361386704,49.82770177962863,48.755648321833185,48.19220620930279
5655,6389083,55,49.989252000615984,49.61190220881353,49.961868080263166,49.95477896553303,49.47008935510997,49.82660454253674,48.754397898458016,48.19132038834883
5656,6390212,55,49.98836775951289,49.61070716096199,49.96105149501695,49.95370848710414,49.4691368358142,49.82577883922504,48.753338450577814,48.19036023980094
5657,6391341,55,49.98746647474794,49.609653996462754,49.96037390398344,49.952706272343136,49.468134348804746,49.82494955794707,48.752330326838106,48.18943596318318
5658,6392470,55,49.98672956777451,49.60862823298677,49.95974470806536,49.951763854431135,49.4669230466642,49.823875514465584,48.751043322760715,48.18843569681707
5659,6393599,55,49.986154412472985,49.60780418352092,49.95946214282059,49.951052564838726,49.465896216322626,49.82303291267526,48.74991229569217,48.18746833779653
5660,6394728,55,49.98589305834335,49.60728955493652,49.95943639831634,49.95067998403418,49.464585592138555,49.82177533923354,48.74845768397672,48.186432379362415
5661,6395857,55,49.98507477163067,49.60613521125515,49.958522167562364,49.949386845052814,49.462920812063956,49.8200088918982,48.746736615001716,48.185327461219494
5662,6396986,55,49.98362898361177,49.60437995708785,49.957108319525304,49.947616938543135,49.46125480522166,49.81829058876053,48.745233897212415,48.184367357208885
5663,6398115,55,49.98207897708988,49.60254758533987,49.95554984767893,49.94568364585074,49.45959453663952,49.81663358356326,48.74371733302092,48.18332313254002
5664,6399244,55,49.980385374827044,49.60053664179035,49.95384526993383,49.9435519020753,49.45796403074434,49.8150172330919,48.74223365747059,48.182318463834335
5665,6400373,55,49.978765204588335,49.59859052478587,49.95226243608561,49.94144504007018,49.45644101493995,49.813484712146526,48.74079291830412,48.18131020074116
5666,6401502,55,49.97714604472496,49.59671579318145,49.95077138801044,49.939461873841516,49.454556209873054,49.81146270048494,48.73896355736374,48.1802004531575
5667,6402631,55,49.97603140465239,49.59540421072905,49.94992359268909,49.938045150975796,49.4526050473947,49.80918048695421,48.737072902980536,48.17908297892544
5668,6403760,55,49.974951695310054,49.594048123429964,49.948908523784105,49.936515400013356,49.45101588723474,49.80742547091787,48.735770259769666,48.17828130146939
5669,6404889,55,49.97372431447543,49.59256976934938,49.94784292073458,49.934836997541545,49.449873451679835,49.806231979121485,48.73475451323457,48.1774334188615
5670,6406018,55,49.972362197521534,49.59097981500256,49.946546931863104,49.93300169957749,49.44852292226264,49.80479862882203,48.73330158966325,48.17628914688615
5671,6407147,55,49.970833647775436,49.58928923388845,49.945207783308966,49.93109903308241,49.446332942447974,49.80239236059751,48.731122877418535,48.17499152503603
5672,6408276,55,49.96921984375758,49.587512646690655,49.94372611733689,49.92914376971096,49.44371532417229,49.79951886792707,48.728807309514764,48.17385446353333
5673,6409405,55,49.9676434287645,49.58570620571651,49.94219279749373,49.92710662597112,49.44132648585765,49.79687999820451,48.72685396384106,48.17286744986521
5674,6410534,55,49.96585588128953,49.58373385173362,49.94044910882298,49.92476154851411,49.43931601309684,49.7946816798969,48.72520239035624,48.17186147815838
5675,6411663,55,49.96406062071203,49.581777128987326,49.938762308619204,49.92250659351193,49.43736856077652,49.79245390569562,48.7234529956904,48.17073115548987
5676,6412792,55,49.96182921792245,49.57923200105603,49.936311729404544,49.919510283128794,49.434911096073016,49.789669411566926,48.72119001770001,48.169432388232075
5677,6413921,55,49.95879286708708,49.57600341986121,49.933193370571644,49.9158677389313,49.431900885673706,49.78619291029391,48.71854917834606,48.168089100816495
5678,6415050,55,49.95528719605372,49.57230422484554,49.92951152652748,49.91151789627596,49.42824760066505,49.78188686326991,48.7153508954304,48.16658276010738
5679,6416179,55,49.95128795238939,49.56810695265405,49.92541990777076,49.9067496653252,49.42488547689027,49.77793959243328,48.71288686805556,48.16557252081482
5680,6417308,55,49.947707772169046,49.56444417026975,49.92191771622992,49.90256708809505,49.42231227398312,49.77497849349468,48.71111882670478,48.164657925347186
5681,6418437,55,49.94516334311409,49.5618864762641,49.91965972746469,49.899583982877054,49.42022901074421,49.772494857645576,48.709499377570296,48.16360815236007
5682,6419566,55,49.94305340542067,49.559731718637316,49.91782797456332,49.897056567748706,49.41850102363558,49.77052784879261,48.70820981512992,48.16274043581348
5683,6420695,55,49.94102622945446,49.5576871502425,49.91602696978714,49.89464412081245,49.41712753846367,49.76900109319071,48.70700987182319,48.16174666161352
5684,6421824,55,49.93919398400231,49.5558039290581,49.914419411574144,49.89255975196563,49.415952057532586,49.76772857618084,48.70591998773677,48.16075535809103
5685,6422953,55,49.937048442565946,49.5533471680243,49.912080799152605,49.88963088502432,49.41370621093438,49.76526962476144,48.70376058121025,48.15935595997409
5686,6424082,55,49.93374002505365,49.549791480102186,49.90858822068981,49.88546867500242,49.41156609298396,49.76297468788834,48.702029621373306,48.15839113900795
5687,6425211,55,49.93035231534031,49.546268557626796,49.905228513929146,49.88131653621843,49.410226160044125,49.761625664054634,48.701039510761674,48.15762052688092
5688,6426340,55,49.9271265927677,49.54292567876064,49.902141759335194,49.87739974162105,49.40935782903822,49.760792439264875,48.70027516227507,48.15677237533634
5689,6427469,55,49.92435324691251,49.54012274606444,49.89961967411771,49.87416454348514,49.40861732817569,49.760232604620114,48.69958136520678,48.155937318896264
5690,6428598,55,49.92194432973959,49.537666567053066,49.89750558610969,49.87131916038304,49.40747155564981,49.759141960823875,48.698271337203366,48.15474001386032
5691,6429727,55,49.91926412079626,49.5347625486723,49.89495502402094,49.867977575610745,49.4054562239933,49.7569974189786,48.69619150072693,48.15340144397127
5692,6430856,55,49.91610027600648,49.531377831977856,49.89185230286338,49.86418899040364,49.402715339312884,49.754006068200475,48.6937600971732,48.152170759951304
5693,6431985,55,49.912386875229856,49.527409276675904,49.8880102626101,49.859599179004,49.400140828893925,49.75126474802959,48.691612611572324,48.15114457174189
5694,6433114,55,49.90878705690931,49.52366689435024,49.88460044934334,49.855345576836335,49.398118370721335,49.74907693368083,48.689964572597376,48.150136600996035
5695,6434243,55,49.90570105554511,49.52054240400795,49.881773149106756,49.85164894323554,49.39598020080744,49.74679611158143,48.688198456723136,48.14911243466528
