,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.6380378110414051,1.695844042697616,1.6492812127603516,1.5814449161355082,1.7964562467377667,1.719185773186951,1.8265941102885823,2.030233966286073
50,50,1.3628609192336685,1.388377673781407,1.3741120613819096,1.324118512022613,1.458081235339196,1.4411696010301507,1.4992277951005024,1.6746199247864322
45,45,1.1592641263613552,1.1695008579924717,1.165801588005019,1.1421730120702636,1.211392420991217,1.239515745595985,1.2594299527854456,1.3977727609284818
40,40,0.9812058660351317,0.9792908818946049,0.9819718001631116,0.9851152026474279,0.9891558676160602,1.0581475348306149,1.0422783075156838,1.1416770039648683
35,35,0.8141440444472362,0.8010433265577889,0.8095151193592964,0.8383320270226129,0.778296176494975,0.8864889980150753,0.8347193289949749,0.8969988805904523
30,30,0.6547384632537689,0.6315483609296483,0.6443504193216081,0.6967532863316582,0.5810226480150753,0.7274836526507538,0.6378958040577889,0.6623182780904522
25,25,0.5329627626130653,0.5051378559798996,0.5180088395728644,0.5925504478015076,0.4247537868341709,0.6072611237562814,0.4758122994346734,0.45324590065326636
20,20,0.33996079380175653,0.303462154378921,0.31722093623588454,0.41941424766624835,0.18595827678795485,0.40536447296110417,0.24801027057716435,0.20299205799247177
15,15,0.18676008031367627,0.1375512089585947,0.15729649664993728,0.28095089716436633,0.004962313262233375,0.24422039641154328,0.05141103466750314,0.000717083312421581
10,10,0.950854209761606,0.9920163418946049,0.9373983664115433,0.9789718769636137,0.972670721242158,1.0278243976537014,1.0524242479799246,1.1559911081932246
5,5,0.958828689523212,0.9705313602760351,0.9547956525972398,0.9717665530614806,0.9728020168632372,1.0361762825219574,1.0396589651944792,1.1483491810414055
