,Time(ms),T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
0,810,29.236999854387154,28.43048524446622,29.680793448954823,29.581965442957127,23.57001635,29.248270480437366,27.674165431365218,30.6733534414837,26.92644007181694,23.83384735
1,1939,29.802383061269563,29.698903089709937,31.278834408215097,30.25383367634607,23.59755532,29.031232278126353,28.607490447648523,30.264434333708387,27.07946474112694,23.86286872
2,3068,30.21351475684919,30.452271885139474,32.25151387066145,30.74031120963766,23.59470573,29.034760459976617,29.367634075339367,30.092806512549956,27.12874698559539,23.86090575
3,4197,30.509776898721956,30.94570480337724,32.90373744285746,31.111613509016728,23.59328108,29.11044262148332,29.96989447134559,30.008891379617978,27.1528814358419,23.86107894
4,5326,30.757889135917832,31.27317795982902,33.35890872338072,31.40232111109807,23.59251181,29.178651805063446,30.43861393681304,29.961572241723648,27.156813866698414,23.86113668
5,6455,30.9369353387841,31.4911792066697,33.66210509924039,31.611747772380895,23.59222691,29.21340697230015,30.72854318357148,29.873783055050314,27.131561151695877,23.86116554
6,7584,31.028856783721796,31.58677716360551,33.80719849246124,31.71773800034093,23.59188502,29.157099810505258,30.878029609569886,29.759460759178335,27.11016570611794,23.86084802
7,8713,31.09053648687411,31.63244697638489,33.8856258859141,31.779568701229728,23.59197049,29.116097550051926,30.998986246321785,29.68620994071993,27.117512640704973,23.85978001
8,9842,31.15866166439069,31.66854345596103,33.94962714356626,31.854205190250156,23.5914007,29.121102009182604,31.114907279060247,29.654742789441205,27.118195579604084,23.85943364
9,10971,31.200505141944912,31.685576781469237,33.99426607574271,31.904920038178894,23.59068848,29.062217563656457,31.13224123755853,29.567631960826485,27.10455988419354,23.85897182
10,12100,31.23311600074459,31.700528149696858,34.02478241777189,31.945192036185503,23.59071697,29.06751375875408,31.228527322391862,29.574701925739163,27.127613650399965,23.85876978
11,13229,31.2833448240526,31.719245818007572,34.063833194514835,32.029648750436536,23.59009023,29.07771434076116,31.29752439511958,29.569064528924855,27.12211294002121,23.8598666
12,14358,31.32766222068219,31.705874535140715,34.0687468040518,32.07975356826035,23.58932108,29.061983920462,31.321389142596082,29.555094404102736,27.127553750172503,23.85937591
13,15487,31.348310883666375,31.699282911578855,34.06643048204101,32.08151939388963,23.5886659,29.08120054316269,31.360520785002073,29.569878429302044,27.130090162352005,23.85885637
14,16616,31.355198002772486,31.696667432797902,34.055130409151474,32.11438480615964,23.58838105,29.121493817370766,31.43788259293821,29.597420456045292,27.139546004628897,23.85908728
15,17745,31.3807824000074,31.700580278417732,34.06377688708195,32.15005816536577,23.58823862,29.16217911178443,31.50538475020098,29.608542468268713,27.143043109628493,23.85926046
