,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.1299771924755926,2.263203060655509,2.173100442698745,1.9678134237377964,2.503372481827057,2.2471302869665273,2.6611330685774055,3.1452144828730826
50,50,1.9653500005369593,2.078185889191074,2.0059407081799163,1.8235138100069737,2.2915646343165967,2.0799287208786614,2.438204914735007,2.868853621262204
45,45,1.8048411922733614,1.9033676908995816,1.8384650323430964,1.687196790906555,2.0935110259274756,1.9250553723988844,2.2341940819665274,2.615370387503487
40,40,1.6517785556973499,1.736882249386332,1.6775622835704325,1.5568720545258017,1.9047463122175734,1.777855278842399,2.038444508995816,2.371866211032078
35,35,1.5120758137866108,1.5839866014435149,1.5302633840655508,1.4388939006485355,1.7277148403277542,1.6405469868619247,1.852166454386332,2.138213669944212
30,30,1.371550634149233,1.4312056010390515,1.3815811529218966,1.3182244979846582,1.553558612531381,1.5048358611785217,1.669344295181311,1.9119988750348675
25,25,1.2449205654431263,1.292419722965806,1.247223293538032,1.2103433401186323,1.3893845432588974,1.3769373259385904,1.4947975726378226,1.69539376311933
20,20,1.1239146625592746,1.1598769795955368,1.1183994013877268,1.1065933174267781,1.2286036667433753,1.2503297432635982,1.3239877696164575,1.486630954790795
15,15,1.0095458323500697,1.0345099682566248,0.9961379068758718,1.007833634707113,1.0771656936401672,1.130990569748954,1.161233599232915,1.2877098408716878
10,10,0.9012474100767084,0.9163767766248256,0.8802109428870293,0.9142963667364017,0.934184415878661,1.0194885017154813,1.0066184196304047,1.0982064689679218
5,5,0.799438224372385,0.804731955376569,0.7704994516527198,0.8253224171338912,0.7977703037726639,0.9121583791492329,0.857848430543933,0.9171614880613668
