,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,27.596386049409045,27.33787283220669,27.306875448842064,27.27142968518184,26.278584908717857,26.46262691050602,26.384396611815077,25.070528617517454
50,50,52.83413890051583,52.88311511008301,52.79185125723091,51.735361434109265,52.25835877817614,51.67440639737295,52.62076530187356,50.552929441855575
45,45,47.94122085850216,47.85165195983065,47.86188188244017,47.85464278349878,47.57307754507029,47.67165096037319,47.544125116356504,48.40774870437924
40,40,42.3096963551533,42.218696736587184,42.26299018949694,42.7016544453458,42.20038792903603,42.53639013558737,42.04410973094872,42.50532658322425
35,35,36.834984836968424,36.78559595492021,36.83714217241726,37.416127418524795,36.89440276255342,37.25803307005068,36.72781730068279,36.90108082441605
30,30,31.625679719771355,31.58518234637257,31.609921828588323,32.14717524209621,31.818434107133758,32.100419978542554,31.679579086366658,31.605847059734355
25,25,26.800977980669554,26.790827072340367,26.7820633145304,27.188733669636076,26.892401462779514,26.96940323489157,26.819691177598575,26.603146941390076
20,20,21.861536125879024,21.938131643103958,21.93513602681244,22.058169406008762,22.37097601795986,22.323627447176044,22.369294878393756,21.903834345555683
15,15,17.251700376444557,17.39737844815282,17.410525768581067,17.239501406602784,18.245497032127357,18.125937600500304,18.28673544258746,17.485301030126713
10,10,13.905756208631715,14.045621892075227,14.04888502443214,13.728507110331064,14.431530091466168,14.16831791350724,14.486491264790166,14.482170429817574
5,5,11.037922588056151,11.165926004327472,11.152727086630145,10.658697398663534,11.03634936497973,10.70918652390626,11.036994088586665,14.482086260402731
