,Time(ms),T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
0,857,27.275889413773918,28.905555176810815,29.446006920897275,28.662903927660295,26.16719164,29.42813529752295,35.23285166397566,29.39726744619568,28.05226154886025,25.29644233
1,1986,28.90026280081365,30.009947479022088,31.29600654960236,30.915182953335943,26.19687373,30.544015004650262,35.11792286692859,30.09762306516999,28.04880416205402,25.30582165
2,3115,30.021771958433007,30.71571241245109,32.463018243742525,32.49492719985165,26.19338332,31.317653066711625,34.97793768810469,30.48604597891325,28.08829204426929,25.30204465
3,4244,30.795572371493172,31.184452672484355,33.16371457330593,33.5436684213187,26.19192915,31.82342574438265,34.97623748545681,30.70787757796386,28.070892882989863,25.30028022
4,5373,31.300506478032013,31.478224104355043,33.59546706008532,34.260181499895324,26.19118595,32.16746091884477,35.315797494937996,30.829572538344017,28.045797474149115,25.29935163
5,6502,31.637648118119515,31.661272964146377,33.85826240597169,34.79742061256311,26.19066896,32.418539836920445,35.48156241565618,30.89329399343861,28.0367423282324,25.29860879
6,7631,31.88624524410438,31.78563985383191,34.0354006509519,35.13895524553844,26.18940884,32.590720796086444,34.832217872807966,30.922903490219262,28.05173334693101,25.29761838
7,8760,32.05522880136019,31.840473502225024,34.129393843477445,35.40096702963156,26.18856881,32.70129533839231,34.65088668095774,30.947673096659795,28.07186462418737,25.29684466
8,9889,32.15060583606075,31.8608882610096,34.196901937271356,35.5851846063591,26.18798726,32.78109896672038,35.08691642087758,30.951333413942443,28.079905787071507,25.29594717
9,11018,32.220328845398214,31.883679378343146,34.24386612106721,35.71522904680421,26.18711498,32.84367730411785,35.07850506172315,30.96285691704539,28.05539496227037,25.29508067
10,12147,32.27441049018942,31.896721355067108,34.2503515759966,35.820780086733706,26.18685653,32.88997330109872,35.37910424383503,30.958503895068308,28.061365917254278,25.294895
11,13276,32.33943861373973,31.90766486338491,34.27696632459592,35.896538448055544,26.1851767,32.93124371140665,34.711820821569404,30.955040371596134,28.051768608123847,25.29313118
12,14405,32.36976069697119,31.915976813934563,34.28657127380359,35.9500811579355,26.18478907,32.94391073538517,34.63883433396291,30.953205453733275,28.050782726651043,25.29275987
13,15534,32.390151291037526,31.906354978247244,34.28086273089857,35.97992270999064,26.18478907,32.96176220624661,34.85091816695445,30.941429235966815,28.049775903251525,25.29269798
14,16663,32.410731400273725,31.909508132571894,34.26448736030107,36.00729184058457,26.18401382,32.972196638753815,35.15405475316982,30.935831201636148,28.057317144757025,25.29161503
15,17792,32.426778623078505,31.885511154724654,34.24897939338685,36.04236777993594,26.18436914,32.96844122138315,34.84018515399461,30.9291754303193,28.030996722699157,25.29204821
16,18921,32.416224588618526,31.8718317693274,34.23664291232222,36.05401690989041,26.18365851,32.962079689207386,34.48711382240875,30.922369981485183,28.03741837658439,25.29146033
17,20050,32.41121843018396,31.86161849618871,34.21496012366413,36.04786090901297,26.1830771,32.93965095465724,34.541412915737105,30.921050011392417,28.057873448246035,25.2905012
18,21179,32.42729282485519,31.856680126079127,34.203892171127215,36.03765005479889,26.18252801,32.93051518655725,34.56898122437744,30.915891967092673,28.080975973223634,25.290099
19,22308,32.41157028865723,31.829019890156196,34.193031197693784,36.011621863751614,26.18133299,32.92776873336035,35.16254189905077,30.910265853354947,28.04495961808989,25.28923274
20,23437,32.40950006759108,31.812164070136,34.16724502362956,35.99750072303717,26.18055787,32.91938951029628,35.07377306751746,30.9108181610141,28.034531433542472,25.28907806
21,24566,32.38805389810492,31.784723965641156,34.159374552727876,35.993671755382195,26.18052557,32.90467677524295,34.56224459063091,30.901887719764552,28.027039414514284,25.2884284
22,25695,32.368231849548195,31.7799476735576,34.1329539498695,36.0064030831025,26.17923378,32.889394138091,34.70543957919579,30.910247054429885,28.05959856183262,25.28753128
23,26824,32.34575727650865,31.752183118323373,34.12347799240836,35.98085951951772,26.1796536,32.879632427519375,34.63766721837438,30.90112005733094,28.045762391947108,25.2870054
24,27953,32.332362234239014,31.744566924536386,34.10519999354957,35.97556024142569,26.17958901,32.87158018578438,34.79944801475418,30.89461396353137,28.029313850947645,25.28740754
25,29082,32.32765359054479,31.73769216404667,34.08329706336488,35.962053509765376,26.17949213,32.85177632531677,34.424530111132455,30.88864161642697,28.04222750211296,25.28694353
