,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
50,50,2.5630748832217574,2.590881351046025,2.5614199096652723,2.421318611422594,2.9487763496234307,2.840259122301255,3.159502937866109,3.1844191332217573
45,45,1.833703870502092,1.5920106397071128,1.7991546189539749,1.7934604115899582,2.0156330360669457,2.0678236476569034,1.9575362927615063,1.9955928602928865
40,40,1.5558984245606695,1.225293488661088,1.5141504533472803,1.5438224719246862,1.6446267285774059,1.7331852379079498,1.5130224511715482,1.6367149165690376
35,35,,,,,,,,
30,30,,,,,,,,
25,25,,,,,,,,
20,20,,,,,,,,
15,15,,,,,,,,
10,10,,,,,,,,
5,5,,,,,,,,
