,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
42,42,27.225870086391893,27.386094898592063,27.30844059169895,27.322457069168298,27.035270601581086,27.091198737514837,26.896984328646806,26.745038255803948
27,27,26.567018915582203,26.279773201156967,26.417131058610813,26.392087346999613,26.9299495194474,26.820813625379817,27.210461485413752,27.53900423510557
12,12,27.208772256764053,27.336230951349112,27.276414565166945,27.287630209967467,27.035063899694237,27.088696236721006,26.89157990130204,26.713137052959844
