,Time(ms),T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
39,44835,1.78603348,2.20807045,2.26239612,2.22674824,24.39386541,2.26187803,2.27440358,2.2614685100000003,2.24950196,23.18213375
40,45964,1.78606219,2.2074311900000003,2.2618068200000003,2.2260307,24.39383579,2.26163216,2.27465063,2.26138432,2.24962941,23.18191035
41,47093,1.78606927,2.20753425,2.26180446,2.22598585,24.41568003,2.26179502,2.2744275800000002,2.2611404200000003,2.24952989,23.17847578
42,48222,1.78587769,2.2074736699999997,2.26155899,2.2265421,24.41582831,2.26158574,2.27474269,2.26119431,2.24969472,23.17805697
43,49351,1.78662671,2.20746148,2.2613119399999997,2.22572936,24.41520555,2.26173798,2.2750672300000003,2.261308,2.2493599399999997,23.17867123
44,50480,1.78654174,2.20720223,2.26071241,2.22551457,24.41416767,2.2617781,2.27438627,2.2605456100000003,2.2495062800000003,23.17883876
45,51609,1.78560901,2.20618846,2.25994962,2.22474391,24.41490901,2.2606557599999997,2.27376118,2.25968094,2.2490885,23.17853163
46,52738,1.78481042,2.2049721,2.2589708699999997,2.22344966,24.41520555,2.2599098900000003,2.2730094100000002,2.25886426,2.24908181,23.17788945
47,53867,1.7838702199999998,2.2042887799999997,2.25800155,2.22212197,24.41538348,2.25890163,2.27222735,2.25808889,2.2490841699999997,23.17766609
48,54996,1.7835444900000001,2.20435172,2.25743232,2.22184895,24.41523521,2.2589752,2.2722670799999998,2.25825647,2.24905546,23.1780849
49,56125,1.78375102,2.20419161,2.2577545,2.22209089,24.41452351,2.2597120200000003,2.27190123,2.25860974,2.2491365,23.17881084
50,57254,1.7843033400000001,2.20407674,2.25764593,2.2221377,24.41482005,2.2597686599999998,2.27222774,2.2586589100000003,2.24898307,23.17844786
51,58383,1.78394182,2.20387061,2.25730014,2.22207122,24.41505728,2.25945435,2.2723839200000002,2.25899526,2.24935719,23.17858747
52,59512,1.78364559,2.2038474,2.25759282,2.2219284200000002,24.4155021,2.25915616,2.2723009100000002,2.25847087,2.24928559,23.17814074
53,60641,1.78335881,2.2032663599999998,2.25725451,2.22194769,24.41570969,2.2590853500000003,2.27207747,2.2590711800000003,2.24942131,23.17788945
54,61770,1.78317549,2.20358737,2.25668212,2.22228916,24.41514625,2.25951768,2.27216244,2.2585963600000003,2.24925333,23.17816866
55,62899,1.7829013,2.2030071099999997,2.25606056,2.22140796,24.41425663,2.25901021,2.27213136,2.2581062000000003,2.2490416900000003,23.17814074
56,64028,1.78273686,2.20226203,2.25541226,2.22026988,24.4147904,2.2582191,2.27186779,2.25727614,2.24885286,23.17903421
57,65157,1.78215346,2.20146856,2.25515852,2.21939538,24.41425663,2.2576467200000003,2.27159477,2.25739022,2.24887292,23.17858747
58,66286,1.7813179,2.2009721,2.2542600200000003,2.21891505,24.41384149,2.25799801,2.27160776,2.25710934,2.24886152,23.17811282
59,67415,1.7809201799999999,2.20059996,2.25374271,2.21875415,24.41410837,2.25718566,2.27104678,2.25703303,2.2487018,23.1782245
60,68544,1.78119556,2.19945244,2.2534468800000003,2.2187167800000003,24.41482005,2.2570050999999998,2.27077416,2.2566840900000003,2.24885719,23.17825242
61,69708,1.78088439,2.20028092,2.25267308,2.2189823200000003,24.3951689,2.25689849,2.27055229,2.25683122,2.2484535699999997,23.18241301
62,70837,1.78131751,2.19979823,2.25220573,2.21773133,24.39499114,2.25689495,2.27020807,2.2570169,2.24862312,23.18179864
63,71966,1.78122191,2.20053741,2.2523465600000003,2.21816878,24.39549478,2.25735521,2.27013372,2.25692878,2.24847127,23.1818545
64,73095,1.78164599,2.20105354,2.25264357,2.21872936,24.39549478,2.2576376700000003,2.2707875399999997,2.2567568700000002,2.24863807,23.18163109
65,74224,1.7815240399999999,2.20077698,2.25269904,2.21806532,24.39558366,2.25778912,2.2714972099999997,2.2565794500000003,2.24850943,23.18154732
66,75353,1.78098431,2.20026243,2.25251021,2.21776162,24.3966206,2.2574287799999997,2.27067306,2.25591658,2.2482954299999998,23.18227338
67,76482,1.78064756,2.19979783,2.25199448,2.21705313,24.39587992,2.25643114,2.26974308,2.25538354,2.24775294,23.18232923
68,77611,1.7802341099999999,2.19854724,2.2506180000000002,2.21569042,24.39570216,2.25574782,2.2693343500000003,2.2548233499999997,2.24781942,23.18294362
69,78740,1.78010311,2.1979980699999997,2.24992092,2.2150224400000003,24.39579104,2.2555900700000002,2.2683583499999997,2.25454876,2.2480173,23.18361388
70,79869,1.77971798,2.1968891,2.24907827,2.2134831100000003,24.39549478,2.2551510500000003,2.26822145,2.25440793,2.2480062800000002,23.18294362
71,80998,1.77906377,2.1969559800000003,2.24866089,2.21306769,24.39620582,2.2553851099999997,2.26883514,2.2540704,2.24770416,23.18350217
72,82127,1.77863576,2.1964075899999997,2.24779346,2.21317351,24.39718354,2.25465105,2.26873325,2.2535503400000003,2.24775687,23.18366974
73,83256,1.77837967,2.19495047,2.24668843,2.21238437,24.39694651,2.2542612,2.26808101,2.25318999,2.24767938,23.18339046
74,84385,1.7781275,2.1946692,2.24687017,2.21274747,24.39768723,2.25445396,2.26795119,2.25274507,2.24776199,23.18400487
75,85514,1.7779721099999999,2.19507793,2.24701533,2.2129524199999997,24.39685763,2.25413688,2.26770847,2.25291619,2.24773799,23.18442381
76,86643,1.77784072,2.1952879999999997,2.24650668,2.2125554899999997,24.39727242,2.2542726,2.2676172,2.25253696,2.2477258,23.18473103
77,87772,1.77777385,2.19504528,2.24650038,2.2122577000000003,24.39727242,2.25382847,2.26730918,2.2520232,2.2476298100000003,23.18576444
78,88901,1.77751775,2.19490484,2.24600707,2.21173252,24.3976576,2.25420533,2.26686189,2.25222973,2.2477195,23.18537341
79,90030,1.77778014,2.1948029499999997,2.2455452300000003,2.2114819299999997,24.39813167,2.25377654,2.26647873,2.25182611,2.2471719,23.18573651
80,91159,1.77735724,2.1948139700000002,2.24536821,2.21139735,24.39866502,2.25311918,2.26665143,2.25156883,2.24734106,23.18548514
81,92288,1.77724867,2.1943064899999998,2.24487057,2.2111864900000002,24.39866502,2.2527895200000003,2.2662285300000002,2.25163531,2.24703933,23.18520583
82,93417,1.77709249,2.19411137,2.2450440499999997,2.2114418000000002,24.39887243,2.2524401899999997,2.26592129,2.25099291,2.24707788,23.18568065
83,94546,1.77723844,2.1934524399999997,2.24481156,2.21114204,24.39890206,2.25218921,2.2662379699999997,2.25103028,2.24685758,23.18615548
84,95675,1.77686787,2.19314009,2.24374744,2.21037532,24.39934653,2.2519929100000002,2.2662686599999997,2.25060227,2.24687725,23.1874683
85,96804,1.7766035100000002,2.19229745,2.2432053400000003,2.20966997,24.40017623,2.2519087200000003,2.2658316000000003,2.2501597,2.2469940900000003,23.18839011
86,97933,1.77620736,2.19180217,2.24216915,2.20873685,24.39993917,2.25156647,2.26523247,2.24970534,2.2468017199999997,23.18839011
87,99062,1.7762105099999999,2.1909512600000003,2.2419048,2.20809011,24.39976138,2.2509394,2.2644287700000003,2.2493914100000003,2.2464055800000002,23.18864152
88,100191,1.7757797499999999,2.19078604,2.24131471,2.20769751,24.40017623,2.2503745,2.26443743,2.2496931399999998,2.24669197,23.18866946
89,101320,1.7756475699999998,2.19020028,2.24071912,2.20697603,24.40038366,2.25055664,2.26440792,2.24942131,2.24630723,23.18903262
90,102449,1.7755480399999999,2.1905224700000003,2.24039221,2.20721443,24.40145048,2.25045632,2.26432177,2.24932139,2.24637647,23.18992657
91,103578,1.77515819,2.19065976,2.24053186,2.20695951,24.40133195,2.2510637200000003,2.26443703,2.24882611,2.24643705,23.18975895
92,104707,1.77508856,2.19021916,2.2401494900000003,2.2063230000000003,24.40198391,2.2505062799999997,2.26463491,2.2484531800000003,2.24631706,23.19009419
93,105836,1.77525575,2.18955079,2.23965224,2.20613378,24.40278409,2.24991108,2.26440045,2.24793075,2.24623524,23.190178
94,106965,1.77479352,2.1885437100000003,2.23856845,2.2050315,24.40278409,2.24970534,2.26313845,2.24805821,2.24612706,23.19031768
95,108094,1.77403781,2.18733994,2.23745712,2.20431907,24.40337683,2.24866639,2.2620574099999997,2.24706215,2.24593469,23.19031768
96,109223,1.7734378899999999,2.1863053199999998,2.23738867,2.20305275,24.40308045,2.24824783,2.26171949,2.24654326,2.2458147,23.19059705
97,110352,1.77324828,2.18531948,2.23552046,2.20239893,24.40313973,2.24757395,2.26133161,2.2463863,2.2458929899999998,23.19171458
98,111481,1.7725354599999998,2.18459761,2.23473604,2.20197289,24.40305082,2.24751573,2.2608556,2.24581352,2.24575176,23.19227337
99,112610,1.77183876,2.18395206,2.23460228,2.2013178900000003,24.40311009,2.24686781,2.2602966,2.2460908699999997,2.24524035,23.19213367
100,113739,1.77154175,2.18405749,2.2339984299999998,2.20086235,24.40355465,2.24663728,2.2607025700000003,2.24518646,2.2457741899999997,23.19266453
