,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.6667167480448717,1.6147217037500001,1.5919662759935898,1.644790841378205,1.567571956025641,1.7148438970833335,1.4238886115705127,1.3619096023076922
45,45,1.5398584849372385,1.2425887725523013,1.4631751687029289,1.5211035129707111,1.4379255821338917,1.6023835134728035,1.3009763728451884,1.2630292421338911
35,35,1.4840823967298578,1.159699660663507,1.4060221742654029,1.4655669433649288,1.398292508341232,1.5672829465876776,1.2684436271090047,1.2477615307582939
25,25,,,,,,,,
15,15,,,,,,,,
5,5,,,,,,,,
