,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
42,42,1.3318669497633135,1.3520276763300159,1.2994485258647122,1.2393769354572348,1.3337985333284024,1.3147195179733726,1.3317196578066166,1.399252060190963
27,27,1.3353861337479829,1.3562410817778376,1.3028516384211941,1.2421550955823024,1.336572882288865,1.3176541381508877,1.3343262005917162,1.4014974883270575
12,12,1.3357633146080408,1.3566930045663574,1.3030548356218905,1.2423902080919724,1.3368810012854648,1.3177346196046793,1.3344650283178703,1.4017742503455695
