,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
42to27,-0.00023461226564462181,-0.0002808936965214522,-0.0002268741704321305,-0.00018521067500450647,-0.00018495659736417203,-0.00019564134516767418,-0.00017376951900664275,-0.00014969520907296048
27to12,-2.514539067052605e-05,-3.0128185901319902e-05,-1.354648004642615e-05,-1.5674167311334013e-05,-2.0541266439992138e-05,-5.365430252772067e-06,-9.255181743602254e-06,-1.845080123413408e-05
