,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
35,35,1.945654478115942,1.9023045621159418,1.9235572928405797,1.8049616400579709,1.9920247230434782,1.9507791542318844,2.0437179676811597,2.201652024028985
30,30,1.8568750907826086,1.763692106173913,1.8339472436811595,1.6940046583768116,1.8610454251304345,1.8562160998840576,1.8711994287246378,1.977282123130435
25,25,1.7397902302608694,1.5784563769855073,1.7179966640289857,1.5416090727246377,1.7059642585217394,1.7348975039999999,1.6804121399999998,1.7583732542318842
