,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),,,,,,,,,
55,55,2.725801364,2.202271313,3.13008116,3.079114864,2.611130889,2.284262286,2.922846678,3.250949163,,,,,,,,,
30,30,1.471516826,1.387657875,1.515174352,1.514824924,1.48376295,1.450385455,1.510914238,1.537026059,0.050171382,0.032584538,0.064596272,0.062571598,0.045094718,0.033355073,0.056477298,0.068556924,
5,5,0.339866103,0.59230238,0.109347888,0.251100412,0.48618053,0.66722875,0.276457015,0.182486734,0.045266029,0.03181422,0.056233059,0.05054898,0.039903297,0.031326268,0.049378289,0.054181573,0.04825372
