,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.4781072287099024,1.820493328117155,1.6338188150000004,1.4614659838284523,1.5586691862761508,1.709569835620642,2.0142425852998604,2.11826972181311
50,50,1.3637013642050209,1.4059493180055789,1.3599276829986053,1.320913400990237,1.4632738484518826,1.4478582582217572,1.5305473176080893,1.7095007632008368
45,45,1.0995065432147837,1.1391483213947002,1.093635617245467,1.08706257776848,1.1635126142817294,1.194091215906555,1.2575996876011157,1.4108372952789399
40,40,0.8813112724825664,0.909630220543933,0.8749990900767085,0.8933399973988841,0.903452263675035,0.9749257722245468,1.009336459372385,1.129723664093445
35,35,0.6959217076080892,0.7125835383821477,0.6867065407322176,0.7293232545118549,0.6803651698186889,0.7900877122036263,0.7890698340306833,0.8729089376220364
30,30,0.5301012892259415,0.5360773213877267,0.5171830722942817,0.5827652922454671,0.4766346052161785,0.6225292140446304,0.585156035613668,0.632697470571827
25,25,0.38234500196652726,0.3788332167364017,0.36630825255927474,0.453336430808926,0.28882452236401673,0.469499909735007,0.3945124842538355,0.4056820064086471
20,20,0.24508960926778242,0.23228809138075315,0.22547676562064156,0.33271694887726644,0.11172967136680613,0.3254098266457462,0.21274719168061368,0.1888505347977685
15,15,0.12440686703626219,0.10203021958158996,0.10072612423988843,0.2272375947977685,0.00038429906555090656,0.194487089944212,0.04340677514644352,0.0007762352928870293
10,10,0.8655511508228729,0.9135372172524407,0.8544722857880057,0.8910328647977684,0.9084941473291492,0.9845981863319385,1.034484760725244,1.1581401678033474
5,5,0.8591469206555091,0.8963977175732217,0.8508344939609483,0.876628674288703,0.8909504791701536,0.961880095334728,1.0118717277684797,1.143562720111576
