,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
40,40,1.442040822398844,1.3792997550289017,1.9648166863005778,2.707786161184971,1.454435528381503,1.398153812947977,1.5746612100000001,2.050172307138728
35,35,1.368786823043478,1.3325258719130435,1.7024670797681158,2.174553118347826,1.3822883211304349,1.3478507971014493,1.4565063648985508,1.75898815057971
30,30,1.2832726288985508,1.2738046257971014,1.417488335594203,1.6417524597971014,1.3007204838550723,1.2889100924347825,1.329691696347826,1.476307210115942
25,25,1.2042465944347827,1.2203193176231883,1.1550242135652176,1.1502254770144928,1.2252757560869565,1.2335045673043479,1.2117991555072465,1.2178057851884059
20,20,1.1352402132463768,1.1746585977681159,0.928007119652174,0.7147171192173912,1.1650211924057972,1.1927229290434782,1.1146972039710143,0.9870513946376812
15,15,1.0640501615606937,1.1252832688728323,0.6992820287861272,0.2945289173988439,1.1024828695953757,1.1487288914450866,1.0161987052890173,0.7656954273699422
10,10,0.9984963917919075,1.0803894680924855,0.4880978366763007,0.0003871628034682081,1.0444695074277455,1.1078282980346819,0.9239423851445087,0.5581084223988441
5,5,0.9374711239710144,1.0386531661449274,0.2885215427826087,0.00036782101449275357,0.9909357702028986,1.0702854626956522,0.8378015190724637,0.3632479173913043
