,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,55.311711898815176,54.929471122853286,56.1063993083446,56.677916242942636,55.34741338563329,55.08622805867791,55.67024716176663,56.09691103954576
30,30,29.35131598072103,30.139883681347715,27.368061960394165,25.254120617792623,29.27348356302478,29.825721434689218,28.529408873059726,27.39594643252342
5,5,5.336972120463807,4.930645194521253,6.52553879960019,8.067963093909356,5.379103135137036,5.0880505052812754,5.800343973405546,6.50714255557808
