,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.7845510346698112,1.8844072461320753,1.7667624805188678,1.677869877971698,2.0339341972169813,1.881158713160377,2.1766746400943395,2.4789763200471695
50,50,1.6636913384905663,1.7413171030660377,1.6542866311320752,1.5773713188207545,1.8816452318867922,1.7731537746226418,1.995022435754717,2.2362980560849057
45,45,1.524230867783019,1.581571137783019,1.5207295775,1.4573035700943398,1.7036787466981131,1.6394729176415095,1.7966216764150946,1.993048472028302
40,40,1.3772978704694834,1.4165761804694836,1.3774420989201877,1.328837006713615,1.5230786754460093,1.500484908967136,1.5992284033802822,1.756341842347418
35,35,1.2350785067136152,1.2575687630985917,1.237556681267606,1.2043054046478874,1.3465356409389673,1.3627020042253521,1.406803089577465,1.5295394707511738
30,30,1.1010324049295777,1.1079432886384974,1.1046664071830987,1.0869252939906104,1.1780638802816903,1.2313664304225354,1.2227064115023474,1.312683920892019
25,25,0.9774429521226417,0.9706505224528301,0.9816673477358491,0.9789228339622641,1.018930934245283,1.1065977933490567,1.047371573726415,1.105855174009434
20,20,0.8536406881132075,0.8327485063207547,0.8575665668396226,0.8693489310377358,0.8597078053301886,0.9800505308490565,0.8744918343867926,0.9074737549999999
15,15,0.7437775441981133,0.7109099349056605,0.7478397742924529,0.7733158624528302,0.7147221745754717,0.8658400621226415,0.7135539952830189,0.7194909226415094
10,10,0.6369323607511738,0.5921101815492957,0.6396955276995305,0.6784443614084505,0.5755789846948357,0.7548333245539905,0.5588526400469483,0.5408452268075117
5,5,0.5389872816431924,0.4832819253521126,0.5410112987793427,0.5920844521596244,0.4451908614553991,0.6518905604694837,0.41254770920187794,0.3709784694835681
