,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CC(v),T2CD(v)
60,60,60.365481873769234,60.440960276265656,60.29277337810581,60.47256758577094,60.50663472907696,53.00457137786415
35,35,34.233786416725735,34.065643108002874,34.39228429822499,33.99407821550882,33.91614660364773,43.80300616880948
10,10,10.400731709502775,10.493396615731955,10.314942323669621,10.533354198720199,10.577218667275202,8.19242251402425
