Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
8.417508418,0.76333875,0.01186938,0.0025803,0.00051606,-5.50E-07,4.40E-07,0,0.0011
8.424599832,0.77487,0.01216125,0.0025875,0.000345,-4.40E-07,3.30E-07,0,0.0011
8.431703204,0.78011718,0.01192734,0.00077787,0.00103716,-5.00E-07,-1.00E-07,0,0.001
8.438818565,0.77767119,0.01333794,-0.00043305,0.00155898,-8.00E-07,-6.00E-07,0,0.001
8.445945946,0.77538186,0.01588257,0.00017358,0.00095469,-8.80E-07,-3.30E-07,0,0.0011
8.453085376,0.77533536,0.01765288,0.00208704,0,-7.70E-07,2.20E-07,0,0.0011
8.460236887,0.77179158,0.01976943,0.00278688,0,0,4.40E-07,0,0.0011
8.467400508,0.77006208,0.02197188,0.00156942,0.00148223,1.21E-06,-1.10E-07,0,0.0011
8.474576271,0.76361226,0.0239965,0.00104712,0.00296684,1.32E-06,-4.40E-07,0,0.0011
8.481764207,0.7491213,0.0269757,0.0021825,0.0027063,7.20E-07,-3.60E-07,0,0.0012
8.488964346,0.7320105,0.0306423,0.0038412,0.0013968,1.32E-06,-1.08E-06,0,0.0012
8.49617672,0.69564425,0.03585975,0.0047115,0.0005235,2.04E-06,-8.40E-07,0,0.0012
8.503401361,0.64910586,0.04252432,0.00409558,0.00034856,1.95E-06,0,0,0.0013
8.510638298,0.59349521,0.04907364,0.00287133,0.00043505,2.24E-06,9.80E-07,0,0.0014
8.517887564,0.52263662,0.05680644,0.00295324,0,2.80E-06,9.80E-07,0,0.0014
8.52514919,0.45524336,0.06665692,0.00424732,-0.0008668,2.94E-06,-2.80E-07,0,0.0014
8.532423208,0.3841838,0.07927465,0.0050141,-0.00095095,2.10E-06,-9.00E-07,0,0.0015
8.53970965,0.320233,0.095251,0.0043962,0.0001724,4.80E-07,3.20E-07,0,0.0016
8.547008547,0.26753122,0.11490178,0.004297,0.00094534,-9.00E-07,1.80E-06,0,0.0018
8.554319932,0.21637716,0.13971146,0.00633884,-0.00017132,-1.40E-06,2.00E-06,0,0.002
8.561643836,0.17739886,0.17039852,0.00870774,-0.00145129,-4.60E-07,2.99E-06,0,0.0023
8.568980291,0.14392101,0.20724285,0.00902166,-0.00136176,1.00E-06,3.50E-06,0,0.0025
8.576329331,0.11754495,0.25070598,0.00789291,-0.00042435,5.40E-07,3.51E-06,0,0.0027
8.583690987,0.09780916,0.30061933,0.00786873,0.00067688,-6.00E-07,4.80E-06,0,0.003
8.591065292,0.07978564,0.35836066,0.01079552,0.00109642,-3.40E-07,4.76E-06,0,0.0034
8.598452279,0.06710382,0.42263634,0.01454757,0.00109317,7.60E-07,2.28E-06,0,0.0038
8.605851979,0.0549545,0.4882141,0.0161088,0.0010068,2.58E-06,1.29E-06,0,0.0043
8.613264427,0.04613523,0.54943626,0.01699719,0.00133968,5.00E-06,6.50E-06,0,0.005
8.620689655,0.04027592,0.6024676,0.01846676,0.0016712,6.16E-06,9.52E-06,0,0.0056
8.628127696,0.03469856,0.64534317,0.02035204,0.00100092,6.93E-06,5.67E-06,0,0.0063
8.635578584,0.03090059,0.67706441,0.02365436,8.33E-05,4.26E-06,-1.42E-06,0,0.0071
8.643042351,0.02638074,0.6982158,0.0287109,-0.00024966,1.62E-06,-8.10E-06,0,0.0081
