,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,50.9668726979477,50.91742180391483,50.619469263981195,50.71133656092954,50.5527861207709,49.95084058062207,50.827570463706735,51.01908157835788
50,50,46.3094511425238,46.17885273367775,46.56626062389104,46.91957373382116,46.51196575645045,46.790984263519604,45.886919977897634,45.01591231006277
45,45,40.811642926596036,40.703809957417235,41.360268899013086,41.71818456189845,41.35589456671303,42.07114867965533,40.43353200285219,39.192403241740976
40,40,35.10522277730368,35.04409533512027,35.729679359922365,35.99536625251515,35.812151021720695,36.66123857708447,34.91744390165358,33.702005061358754
35,35,29.449388107942124,29.428772018727614,30.017880381856862,30.183710287464624,30.215586676444925,30.985148839774595,29.506683930425947,28.542527794201177
30,30,24.026166667977055,24.014910727404526,24.418484015241503,24.50038607094101,24.712995230896983,25.275947063069133,24.289501750200557,23.702567452118107
25,25,18.93297021981016,18.95366661547622,19.123377434838158,19.114851617641737,19.463428137957127,19.791400396906607,19.337252610112422,19.183267117832457
20,20,14.29772604977697,14.333804656870765,14.232647943598502,14.152260821528685,14.420697221254773,14.412145714453459,14.60641037670136,14.940826887391651
15,15,10.17968416317456,10.20804783170541,9.838279649836577,9.738344960349993,9.684764378667927,9.323393692314832,10.15168625480489,10.954963494412029
10,10,6.5939680797727895,6.600159604673954,5.959370479086216,5.8975582071048605,5.418487041237381,4.6574619942321664,6.062012777464862,7.244351427388046
5,5,20.22420968803542,20.5594897450507,19.188248270393498,18.62719653498519,19.182141600245973,17.496755767346677,21.385568549819208,23.789088633595092
