,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T1Therm(c),T2Therm(c)
5081,5739973,55,1.9417969876333332,2.0656380667999996,1.9576354750666667,1.8410332413999997,2.202302889066667,2.0455950644,2.3246391944,2.674202900766667,26.920989476333332,27.193236170633334
5082,5741102,55,1.941804803,2.0656247833,1.9576465372333334,1.8410321963,2.202285172066667,2.0455797379000003,2.324590907,2.6741349005666666,26.9220238423,27.1940992714
5083,5742231,55,1.941776059233333,2.0655691355666668,1.957611831,1.8409912968,2.2022081042,2.045503872533333,2.3244900599999996,2.6740606376000002,26.923056217133336,27.1949578124
5084,5743360,55,1.9417033934,2.0654651571666665,1.9575297199,1.8409038106333333,2.2021064337,2.0454061044666667,2.3243804744666665,2.673996386433333,26.924086653699998,27.195811820566668
5085,5744489,55,1.9416118185999998,2.0653448281666664,1.9574333168666664,1.8407957200000002,2.2020013918333334,2.0453026925666666,2.324278490566667,2.6739387324,26.92511453046667,27.1966678248
5086,5745618,55,1.9415070036000002,2.065212760366667,1.9573264352333335,1.840672553333333,2.2019032644666665,2.0452036381000003,2.3241874901333333,2.673879060266667,26.926138641866665,27.19751561
5087,5746747,55,1.9413769434,2.065047022266667,1.9571820805333333,1.8405174866,2.2017927937999997,2.0450931045000003,2.3240892054,2.6738184073,26.92715808726667,27.198365958366665
5088,5747876,55,1.9412330017333332,2.0648696240666666,1.9570248305,1.8403495389666666,2.2016770241666666,2.0449724804333336,2.3239858472666666,2.673757422566667,26.928177163266664,27.199209191133335
5089,5749005,55,1.9411035801666665,2.0647185463333333,1.9568973719333334,1.8402068286333333,2.2015884863666666,2.0448813895,2.3239168832333332,2.6737142518666666,26.929190551466665,27.20005587363333
5090,5750134,55,1.9410433520666668,2.0646545416666666,1.9568576630666668,1.8401387943333334,2.2015545787,2.0448380877,2.323890341166667,2.6736792375,26.930208013433333,27.20090153776667
5091,5751263,55,1.9410121378333334,2.0646200098333334,1.956845719733333,1.8401033668666666,2.2015434562333334,2.0448177402,2.3238634542333334,2.6736268116333335,26.93122893356667,27.2017507741
5092,5752392,55,1.9409621942666668,2.0645567054,1.9568013505333333,1.840042025466667,2.2015061457666665,2.0447791708666667,2.323815670366667,2.6735801476333334,26.932249067466667,27.202596049066667
5093,5753521,55,1.9409139711333334,2.0644964156666665,1.9567614318666664,1.839987063533333,2.201465998933333,2.0447357903666665,2.3237545322,2.6735181387666667,26.933269418,27.203443893099998
5094,5754650,55,1.9408678238000001,2.0644385951333333,1.9567219170666665,1.8399309070333334,2.2014029410333333,2.044672079433333,2.3236765962666666,2.6734606709333333,26.9342875011,27.204287419033335
5095,5755779,55,1.9408349075000002,2.0643929303666666,1.9566927786333335,1.8398827534000002,2.2013359479,2.0445949591333332,2.3235840432333332,2.6733909555666666,26.93530549793333,27.205127873966667
5096,5756908,55,1.9407653455333336,2.064296869633333,1.9566120247,1.8397928610333334,2.2012164476,2.0444719694666666,2.3234554490666666,2.673316017266667,26.936326035166665,27.205968693466666
5097,5758037,55,1.9406723912333332,2.0641786465666665,1.9565112288333333,1.8396859558000003,2.2011012235,2.0443498400333335,2.3233461966,2.6732609661666666,26.937343172066665,27.206806718666666
5098,5759166,55,1.9405977912333336,2.0640843613333333,1.9564373185666666,1.839603311,2.2010121244333334,2.044250030266667,2.323264196933333,2.6732113268333335,26.938356779466666,27.2076410471
5099,5760295,55,1.9405310236666666,2.0639994178,1.9563720878333333,1.8395240401666664,2.2009038397,2.0441281735666665,2.3231527847666666,2.6731444635333332,26.93936933243333,27.208472820433336
5100,5761424,55,1.940402856966667,2.063830053933333,1.9562106730666668,1.8393570878000003,2.200740986466667,2.0439637087333336,2.3230102003333335,2.6730749579333333,26.9403804951,27.20930621136667
5101,5762553,55,1.9402518959333335,2.0636577344,1.9560586263000002,1.8392002757333334,2.200665932766667,2.043883833366667,2.3229686923666666,2.6730641226666667,26.941386405233335,27.2101321654
5102,5763714,55,1.9402228414,2.0636287258,1.9560487889,1.839164944,2.2006552548333334,2.0438612514333334,2.3229559622333333,2.6730209900333333,26.942314870700002,27.211141034633332
5103,5764843,55,1.9401929214333336,2.0635902207333334,1.9560242491999997,1.8391204449666667,2.2005912515,2.0437900634666666,2.3228790583,2.6729531340666663,26.943235342966666,27.212154016566668
5104,5765972,55,1.9401210515666667,2.0634947146666667,1.955943621166667,1.8390272389333333,2.2004847908333334,2.043680453,2.3227677890666665,2.6728830607000003,26.9441614356,27.213159594433332
5105,5767101,55,1.9400005691333335,2.0633390250666666,1.9558065311,1.8388830454999996,2.2003179958333337,2.0435079669333334,2.3226020418,2.6727911227,26.945078990266666,27.214165553433336
5106,5768230,55,1.9398700722666664,2.0631837708000003,1.9556760237666666,1.8387435518000004,2.200149408266667,2.0433330261000004,2.3224543642666666,2.672725937866667,26.945998148466668,27.215163736033332
5107,5769359,55,1.9397604316666666,2.063057139666667,1.9555720204333333,1.8386257562333332,2.1999832400333332,2.0431560632333334,2.3223114244666667,2.6726600816333335,26.9469136513,27.216160471
5108,5770488,55,1.9396749492000003,2.0629552554333332,1.9554951125666666,1.8385312559333333,2.1998322606333334,2.042995685733333,2.3221919950000003,2.6725978734666667,26.947830210733333,27.217158935100002
5109,5771617,55,1.9395965988666668,2.0628530945,1.9554097546666669,1.8384279817,2.1996891202000004,2.0428456950666667,2.3220772311333335,2.6725250057000003,26.948750033933333,27.21815108106667
5110,5772746,55,1.9394644143666664,2.0626891659999997,1.9552617676666666,1.8382719970666666,2.199579181966667,2.0427319461666666,2.3219981714,2.672477734566667,26.949660256166666,27.21914842483333
5111,5773875,55,1.9393922429333335,2.0626053291999997,1.9552049188,1.8381958798999998,2.1995497511,2.042696677366666,2.3219918129,2.672457228433333,26.950576273,27.220136419533333
5112,5775004,55,1.9394270671666662,2.0626508550000002,1.9552768030666667,1.8382362037666666,2.199596085966667,2.042737158566667,2.3220368181,2.6724403113000004,26.951488428399998,27.221137710366666
5113,5776133,55,1.9395036209666667,2.0627350366666666,1.9553810253666666,1.8383147691333332,2.1996900945333335,2.0428299698999997,2.3221088728666666,2.6724266868666664,26.952414256533334,27.222137343266667
5114,5777262,55,1.9395831947,2.062815344766667,1.9554803695999998,1.8383954968333334,2.1997868424,2.0429277904,2.3221620566666665,2.6723969124333333,26.953419185666668,27.223054066666666
5115,5778391,55,1.9396567731666665,2.0628797402,1.9555627390333332,1.8384644162666666,2.199880631966667,2.043028828866667,2.3222059433333335,2.6723687246666668,26.954428272366666,27.223966870166667
5116,5779520,55,1.9397016459333334,2.0629051152333333,1.955605056066667,1.8384956449333334,2.199918975766667,2.043072239533333,2.3221739777333337,2.6723044787333334,26.95543567396667,27.224882979633332
5117,5780649,55,1.9397084699666665,2.0628841029333334,1.9556009622,1.8384844280666663,2.199872103266667,2.0430395487666666,2.322085921166667,2.6722418234000003,26.956443845333332,27.225795296233333
5118,5781778,55,1.9396695872333336,2.0628130959,1.9555469601666668,1.8384274926333335,2.1998144033333333,2.0429919957333333,2.32201175,2.6721981898333333,26.957446058933332,27.226705348999996
5119,5782907,55,1.9396396790666666,2.0627617348,1.9555116074666667,1.8383839914999998,2.1997906425333333,2.0429715105666664,2.3219751043666665,2.6721624961666666,26.95845230373333,27.2276104682
5120,5784036,55,1.9396216499666665,2.062725422233333,1.9554951899666666,1.8383549474666665,2.1997772921666665,2.0429605087333336,2.3219391261666664,2.6721131374333336,26.959453565833336,27.228523895500004
5121,5785165,55,1.9395836326999998,2.0626622095999996,1.9554506712333333,1.8382995134666664,2.1996939615333333,2.042876960433333,2.321831491866667,2.6720341931000005,26.960459705166667,27.229430460966668
5122,5786294,55,1.9395216684333336,2.0625757646333334,1.9553832152333332,1.8382238264,2.1996125795,2.0428004538333333,2.3217488444,2.6719871671666664,26.961459044700003,27.23033570533333
5123,5787423,55,1.9394583391,2.0624908132,1.9553174718,1.8381499004,2.1995635171333334,2.0427513141,2.3217016677,2.671948318533333,26.962457556233332,27.231241472066667
5124,5788552,55,1.939423131933333,2.0624458906,1.9552942106,1.8381137792666669,2.1995637768000003,2.042750071,2.3216966755666664,2.6719194174333336,26.963458942266666,27.23214534
5125,5789681,55,1.9393930375333333,2.0623953503666668,1.9552553986666665,1.8380651496333333,2.1995348521,2.0427218124333333,2.3216463176333333,2.6718603354,26.96445969966667,27.233059920466665
5126,5790810,55,1.939313087433333,2.0622847616666666,1.9551532797,1.8379576281,2.1994757962666664,2.0426661752,2.321574613,2.671808790733333,26.9654629606,27.2339675232
