,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,61.474250284812065,61.69913195780717,61.280971675509065,61.93333531941594,60.96911039731655,61.31690120484206,60.781552736473685,60.42008867344544
50,50,53.8473431747881,53.721010633573826,53.85168690983266,53.62652034956371,53.81766357495321,53.699103707749074,53.70115928536961,53.843291476297736
45,45,47.27885560096254,47.161714550919115,47.35452663655523,47.02787993778188,47.4801754659791,47.29536118309106,47.51764703481745,47.724863555669515
40,40,41.32743535869691,41.24612976806873,41.439024576824565,41.17742203993562,41.631465897960666,41.48971367125846,41.750519163443165,41.88149337345481
35,35,35.67010979258881,35.62454838666263,35.788580130910034,35.603080755580535,35.99947938301474,35.88873933388433,36.17215440087967,36.25784764054208
30,30,30.332395772090536,30.314972607309883,30.430301051100205,30.333764384664892,30.634710207754196,30.569607397143013,30.818502401019085,30.855957521704113
25,25,25.275825501066006,25.278357099984422,25.332183896030838,25.323803063916955,25.535274695655595,25.524496721697634,25.689876036727693,25.67740118959599
20,20,20.503315797614846,20.52749363854603,20.510936028735802,20.583098674398425,20.634310332891623,20.64201905047987,20.72875878436438,20.707716598190768
15,15,16.00550992047159,16.03967262643978,15.955822043096997,16.087561732975512,16.032834312975215,16.088388326012065,16.017515998943985,15.96009496003797
10,10,11.891944881160676,11.940374434151076,11.802741193582328,11.994012619755633,11.651063803402867,11.746478551377868,11.508941778428264,11.43445197742696
5,5,8.067710223501017,8.121290682976362,7.927922179463389,8.191946895199132,7.4963407368246004,7.621616760297965,7.1957984745668275,7.1192190472438375
