,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to45,0.03517981711715481,0.053052924376569055,0.03774000429707107,0.028179789857740566,0.05405112349372383,0.043552190112970665,0.06790821204602508,0.07457560301255221
45to35,0.04080853682426779,0.06045412186192469,0.04239664641004184,0.034323267569037676,0.05625572610878662,0.04601714532635981,0.06836594564853557,0.06949934558577406
35to25,0.042488337836820086,0.06326143491631796,0.0437157636736402,0.03699753638075313,0.053302626711297055,0.044075393882845204,0.06332343842259411,0.06169152723430963
25to15,0.03886188841841005,0.05867479730543934,0.04007782345188284,0.03443705142259414,0.04663638071548117,0.038541463234309625,0.055391045937238495,0.05358457193723848
15to5,0.004648254631799164,-0.002092731953974894,0.004297734317991619,0.0052752502092050235,0.0019139085815899626,0.003172102728033477,-0.002768419552301257,-0.007994664999999988
