,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.182736733389831,2.409978095188324,2.1905533710546137,1.9843413364218458,2.3576493626271184,2.1267716941148778,2.3214488080508473,2.6143575743126175
50,50,1.886589919896422,2.0651864207062145,1.8799305197269303,1.7097842724199623,2.0001603190489643,1.8221186647457626,1.9918533209133706,2.2509818176553673
45,45,1.6688930489736347,1.7928623653954803,1.650310082269303,1.5138913652636534,1.7517794399717515,1.615768766629002,1.7612231962900187,1.986799922853107
40,40,1.4693627922013173,1.5399938291345248,1.439044102445908,1.3343576829915333,1.5230847630479774,1.426062737629351,1.5484015077610538,1.7432179774694263
35,35,1.2854401035593221,1.3049091916101694,1.2435393596798492,1.1692560829755179,1.3113737706967987,1.2520494273069678,1.348778097306968,1.5112616919868174
30,30,1.1123709537193973,1.0833876978531074,1.0591743349246705,1.0137653191431262,1.1093082326553672,1.08584875279661,1.1569457112994352,1.2881992961770243
25,25,0.9471957529190207,0.8721037338888888,0.8827970886440677,0.8641297894726931,0.9140121528436911,0.9251406001318266,0.9712073681261771,1.073840587071563
20,20,0.7930460619962335,0.6740483765725047,0.7174308781355933,0.7242258977777777,0.7324190270338983,0.7765890232580037,0.7961273097645951,0.8693899307909605
15,15,0.6489808362370648,0.49036176619943556,0.561518767883349,0.5914968911947319,0.5671448931138288,0.6426956572060207,0.633116449416745,0.6758159672060207
10,10,0.5019265134180791,0.3034575225706215,0.40019288386064034,0.4522450435499059,0.4176576982485876,0.5243376617137476,0.4824320891713748,0.4914115939359699
5,5,0.38211964421845573,0.147964223220339,0.2704928155178908,0.3428409030602637,0.26998972218455747,0.4066591519585688,0.334794863653484,0.3135124661111111
