,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CC(v),T2CD(v)
35,35,35.06270434774608,35.06874371584932,35.06752686670799,35.091413224312994,34.9754906847955,35.01210794752925
30,30,29.869477878221005,29.85631515292812,29.858976436195416,29.80585279168609,30.04831818848611,29.975605574153338
25,25,25.067817774035962,25.07494113122298,25.073496697096484,25.102733984001187,24.976191126718216,25.012286478317435
